codigo_uf,uf,ano,cobertura,vacina
14,Roraima,2014,89.54,Poliomielite
15,Pará,2014,84.36,Poliomielite
16,Amapá,2014,80.66,Poliomielite
17,Tocantins,2014,90.51,Poliomielite
21,Maranhão,2014,93.42,Poliomielite
22,Piauí,2014,81.86,Poliomielite
23,Ceará,2014,103.92,Poliomielite
24,Rio Grande do Norte,2014,95.63,Poliomielite
25,Paraíba,2014,100.4,Poliomielite
26,Pernambuco,2014,101.68,Poliomielite
27,Alagoas,2014,93.32,Poliomielite
28,Sergipe,2014,94.25,Poliomielite
29,Bahia,2014,93.87,Poliomielite
31,Minas Gerais,2014,96.51,Poliomielite
32,Espírito Santo,2014,101.25,Poliomielite
33,Rio de Janeiro,2014,100.89,Poliomielite
35,São Paulo,2014,95.73,Poliomielite
41,Paraná,2014,98.76,Poliomielite
42,Santa Catarina,2014,97.17,Poliomielite
43,Rio Grande do Sul,2014,95.42,Poliomielite
50,Mato Grosso do Sul,2014,130.1,Poliomielite
51,Mato Grosso,2014,102.47,Poliomielite
52,Goiás,2014,97.65,Poliomielite
53,Distrito Federal,2014,94.34,Poliomielite
11,Rondônia,2015,105.44,Poliomielite
12,Acre,2015,82.74,Poliomielite
13,Amazonas,2015,104.8,Poliomielite
14,Roraima,2015,112.28,Poliomielite
15,Pará,2015,72.09,Poliomielite
16,Amapá,2015,92.38,Poliomielite
17,Tocantins,2015,97.22,Poliomielite
21,Maranhão,2015,100.02,Poliomielite
22,Piauí,2015,80.92,Poliomielite
23,Ceará,2015,113.68,Poliomielite
24,Rio Grande do Norte,2015,97.64,Poliomielite
25,Paraíba,2015,96.12,Poliomielite
26,Pernambuco,2015,109.29,Poliomielite
27,Alagoas,2015,94.25,Poliomielite
28,Sergipe,2015,93.69,Poliomielite
29,Bahia,2015,95.42,Poliomielite
31,Minas Gerais,2015,97.12,Poliomielite
32,Espírito Santo,2015,99.39,Poliomielite
33,Rio de Janeiro,2015,107.03,Poliomielite
35,São Paulo,2015,99.68,Poliomielite
41,Paraná,2015,97.39,Poliomielite
42,Santa Catarina,2015,102.43,Poliomielite
43,Rio Grande do Sul,2015,89.2,Poliomielite
50,Mato Grosso do Sul,2015,120.36,Poliomielite
51,Mato Grosso,2015,102.81,Poliomielite
52,Goiás,2015,95.88,Poliomielite
53,Distrito Federal,2015,74.92,Poliomielite
11,Rondônia,2016,105.44,Poliomielite
12,Acre,2016,71.27,Poliomielite
13,Amazonas,2016,76.24,Poliomielite
14,Roraima,2016,88.45,Poliomielite
15,Pará,2016,63.15,Poliomielite
16,Amapá,2016,47.59,Poliomielite
17,Tocantins,2016,84.77,Poliomielite
21,Maranhão,2016,69.43,Poliomielite
22,Piauí,2016,70.69,Poliomielite
23,Ceará,2016,107.89,Poliomielite
24,Rio Grande do Norte,2016,70.25,Poliomielite
25,Paraíba,2016,85.46,Poliomielite
26,Pernambuco,2016,90.38,Poliomielite
27,Alagoas,2016,80.07,Poliomielite
28,Sergipe,2016,78.29,Poliomielite
29,Bahia,2016,70.72,Poliomielite
31,Minas Gerais,2016,88.29,Poliomielite
32,Espírito Santo,2016,89.28,Poliomielite
33,Rio de Janeiro,2016,89.93,Poliomielite
35,São Paulo,2016,83.84,Poliomielite
41,Paraná,2016,87.54,Poliomielite
42,Santa Catarina,2016,92.12,Poliomielite
43,Rio Grande do Sul,2016,84.46,Poliomielite
50,Mato Grosso do Sul,2016,93.78,Poliomielite
51,Mato Grosso,2016,90.64,Poliomielite
52,Goiás,2016,82.1,Poliomielite
53,Distrito Federal,2016,136.83,Poliomielite
11,Rondônia,2017,108.18,Poliomielite
12,Acre,2017,74.01,Poliomielite
13,Amazonas,2017,76.43,Poliomielite
14,Roraima,2017,90.52,Poliomielite
15,Pará,2017,67.63,Poliomielite
16,Amapá,2017,63.18,Poliomielite
17,Tocantins,2017,86.05,Poliomielite
21,Maranhão,2017,74.26,Poliomielite
22,Piauí,2017,78.1,Poliomielite
23,Ceará,2017,97.34,Poliomielite
24,Rio Grande do Norte,2017,69.52,Poliomielite
25,Paraíba,2017,82.34,Poliomielite
26,Pernambuco,2017,84.67,Poliomielite
27,Alagoas,2017,83.88,Poliomielite
28,Sergipe,2017,79.0,Poliomielite
29,Bahia,2017,78.34,Poliomielite
31,Minas Gerais,2017,87.07,Poliomielite
32,Espírito Santo,2017,83.22,Poliomielite
33,Rio de Janeiro,2017,88.76,Poliomielite
35,São Paulo,2017,87.71,Poliomielite
41,Paraná,2017,90.41,Poliomielite
42,Santa Catarina,2017,95.11,Poliomielite
43,Rio Grande do Sul,2017,85.73,Poliomielite
